No	Judul Tesis	Klasifikasi	Skor	Keywords	Klasifikasi_2	Skor_2	Keywords_2	Perlu_Review
3	PENINGKATAN EFEKTIVITAS INFORMASI BERBASIS ATENSI DAN BEBAN KOGNITIF PENUMPANG PADA LAYANAN KERETA FEEDER WHOOSH	Ergonomi dan Rekayasa Kerja	4	beban kognitif;atensi	Manajemen Industri	1	layanan	False
31	ASSESSING THE ROLE OF VIBRATION FEEDBACK AND VISUAL CUES IN HAPTIC-BASED WEIGHT PERCEPTION TRAINING	Ergonomi dan Rekayasa Kerja	4	vibration;perception		0		False
64	PENGARUH VARIASI SUHU PANAS TERHADAP ASPEK KOGNTIF, FISIOLOGIS, DAN PERSEPSI TERMAL DI DAERAH TROPIS	Ergonomi dan Rekayasa Kerja	2	persepsi		0		False
65	PENGARUH PAPARAN SUHU DINGIN DAN JENIS AKTIVITAS TERHADAP FUNGSI KOGNITIF, RESPONS FISIOLOGIS, DAN PERSEPSI TERMAL DI DAERAH TROPIS	Ergonomi dan Rekayasa Kerja	2	persepsi		0		False
66	PERSEPSI FAKTOR KENYAMANAN TERMAL DALAM RUANGAN KANTOR DI INDONESIA DAN PENGARUHNYA TERHADAP PERFORMANSI KOGNITIF	Ergonomi dan Rekayasa Kerja	3	persepsi;kenyamanan		0		False
103	PENGARUH JENIS SENDI LUTUT KAKI PROSTETIK DAN JENIS POSTUR TUBUH STATIS TERHADAP AKTIVITAS OTOT DAN STABILITAS POSTUR PADA PENGGUNA KAKI PROSTETIK	Ergonomi dan Rekayasa Kerja	6	postur;aktivitas otot;prostetik		0		False
104	PENGARUH JENIS KAKI PROSTETIK DAN POSTUR TUBUH AWAL KETIKA MELAKUKAN AKTIVITAS PENGANGKATAN BEBAN DALAM KONDISI BERDIRI DIAM TERHADAP KESTABILAN DAN AKTIVITAS OTOT PADA PENGGUNA KAKI PROSTETIK	Ergonomi dan Rekayasa Kerja	6	postur;aktivitas otot;prostetik		0		False
120	PENGARUH PENGGUNAAN MASKER TERHADAP BEBAN FISIOLOGIS PEKERJAAN KONSTRUKSI	Ergonomi dan Rekayasa Kerja	2	masker		0		False
124	PENGEMBANGAN MODEL HUBUNGAN ATENSI VISUAL PADA KEMASAN PRODUK PERAWATAN KULIT ALAMI TERHADAP NIAT BELI BERDASARKAN STUDI NEUROMARKETING	Ergonomi dan Rekayasa Kerja	2	atensi	Sistem Manufaktur	1	produk	True
130	PENGEMBANGAN HUMAN FACTOR ANALYSIS AND CLASSIFICATION SYSTEM UNTUK ANALISIS KECELAKAAN KERJA DI INDUSTRI PROSES	Ergonomi dan Rekayasa Kerja	2	kecelakaan	Sistem Manufaktur	1	industri	True
137	PENGEMBANGAN MODEL INTENSI PENGGUNAAN HELM DENGAN MENGINTEGRASIKAN THEORY OF PLANNED BEHAVIOR, CLASSICAL DETERRENCE THEORY, DAN HOMEL'S MODEL	Ergonomi dan Rekayasa Kerja	2	helm		0		False
139	PENGEMBANGAN METODE PENILAIAN ERGONOMI OWAS BERBASIS SENSOR GERAK DENGAN UMPAN BALIK SECARA REAL-TIME	Ergonomi dan Rekayasa Kerja	2	ergonomi	Sistem Informasi dan Keputusan	1	sensor	True
141	EVALUASI BEBAN KERJA MELALUI PENGUKURAN KONSUMSI OKSIGEN DAN DETAK JANTUNG PETANI DI SALAH SATU AREA PERTANIAN HORTIKULTURA	Ergonomi dan Rekayasa Kerja	2	beban kerja		0		False
146	ANALISIS BIOMEKANIKA KERJA JONGKOK DENGAN AKTIVITAS PUNTIR	Ergonomi dan Rekayasa Kerja	2	biomekanika		0		False
147	PENGEMBANGAN MODEL KEPUASAN PENGGUNA BERBASIS KOGNITIF-AFEKTIF DENGAN MEMPERTIMBANGKAN DIMENSI BUDAYA DALAM DESAIN ANTARMUKA LEARNING MANAGEMENT SYSTEM (LMS)	Ergonomi dan Rekayasa Kerja	1	antarmuka	Manajemen Industri	1	management	True
151	PENGEMBANGAN MODEL PREDIKSI KONSUMSI OKSIGEN DAN EVALUASI BEBAN KERJA FISIK PEKERJA KONSTRUKSI BANGUNAN INDONESIA	Ergonomi dan Rekayasa Kerja	4	beban kerja;kerja fisik	Manajemen Industri	1	prediksi	False
161	EVALUASI KELELAHAN PENGEMUDI ALAT-ALAT BERAT DI PERUSAHAAN PERTAMBANGAN BATU BARA KALIMANTAN SELATAN	Ergonomi dan Rekayasa Kerja	2	kelelahan		0		False
168	VALIDASI FATIGUE AND RISK INDEX CALCULATOR BERDASARKAN DATA PROFIL KERJA MASINIS INDONESIA	Ergonomi dan Rekayasa Kerja	2	fatigue		0		False
173	KAJIAN KELELAHAN PADA PENGEMUDI TANK AMX-13 DI PUSAT PENDIDIKAN KAVALERI MENGGUNAKAN INDIKATOR MICROSLEEP, PERCLOS SERTA DRIVING ACTIVITY LOAD INDEX	Ergonomi dan Rekayasa Kerja	2	kelelahan		0		False
174	PENGARUH STIMULUS AUDIO TERHADAP PERFORMA GAIT PENGGUNA KAKI PROSTETIK DALAM SISTEM PELATIHAN BERBASIS VIRTUAL REALITY DAN MARKERLESS MOTION CAPTURE	Ergonomi dan Rekayasa Kerja	2	prostetik		0		False
205	PENGEMBANGAN MODEL INTENSI MENGEMUDI DALAM KONDISI MENGANTUK SEBAGAI UPAYA MENGURANGI KECELAKAAN LALU LINTAS DI INDONESIA	Ergonomi dan Rekayasa Kerja	2	kecelakaan		0		False
230	PENGEMBANGAN DESAIN EKSPERIMEN UNTUK PENGUKURAN KELELAHAN PADA PENGEMUDI TANK MENGGUNAKAN PSYCHOMOTOR VIGILANCE TASK DAN PITTSBURGH SLEEP QUALITY INDEX (STUDI KASUS DI PUSAT PENDIDIKAN KAVALERI BANDUNG)	Ergonomi dan Rekayasa Kerja	2	kelelahan		0		False
277	KAJIAN PENENTUAN KRITERIA KELELAHAN BERDASARKAN SUSTAINED ATTENTION TEST (SAT)	Ergonomi dan Rekayasa Kerja	3	kelelahan;attention		0		False
278	BEBAN PSIKOSOSIAL DAN GANGGUAN MUSKULOSKELETAL (MUSCULOSKELETAL DISORDERS) PADA PEKERJA KANTOR DALAM KONDISI PANDEMI COVID-19	Ergonomi dan Rekayasa Kerja	2	musculoskeletal		0		False
281	PENGARUH WAKTU PAGI DAN SIANG TERHADAP PENGGUNAAN PONSEL SAAT BERMOTOR: TINJAUAN PERFORMANSI, ATENSI, DAN SITUATION AWARENESS	Ergonomi dan Rekayasa Kerja	2	atensi		0		False
310	PENGEMBANGAN METODE DAN APLIKASI BERBASIS ANDROID HUMAN FACTORS ANALYSIS & CLASSIFICATION SYSTEM (HFACS) UNTUK INVESTIGASI FAKTOR PENYEBAB MEDICATION ERRORS PADA PETUGAS FARMASI RAWAT JALAN DI RUMAH SAKIT	Ergonomi dan Rekayasa Kerja	2	human factors	Sistem Informasi dan Keputusan	2	aplikasi;android	True
336	PEMANFAATAN INDIKATOR OKULAR DAN PERILAKU UNTUK EVALUASI BEBAN KERJA MENTAL DAN KANTUK SISWA PENERBANG: STUDI PADA SIMULATOR PESAWAT TERBANG	Ergonomi dan Rekayasa Kerja	2	beban kerja		0		False
342	PERANCANGAN KLASIFIKASI KELELAHAN SAAT MENGEMUDI BERBASIS KARAKTERISTIK PERUBAHAN SINYAL ELECTROENCEPHALOGRAPHY (EEG): STUDI PADA SIMULASI MENGEMUDI	Ergonomi dan Rekayasa Kerja	2	kelelahan	Sistem Manufaktur	1	simulasi	True
344	PENGARUH WAKTU, DURASI, DAN PERSEPSI TERHADAP EFEKTIVITAS CAHAYA BIRU DALAM MENINGKATKAN KEWASPADAAN	Ergonomi dan Rekayasa Kerja	2	persepsi		0		False
346	STUDI ANTROPOMETRI KAKI UNTUK PENYEMPURNAAN SISTEM PENOMORAN UKURAN SEPATU DEWASA INDONESIA	Ergonomi dan Rekayasa Kerja	2	antropometri		0		False
358	PENGARUH PENERBANGAN MULTI-SEGMENT TERHADAP PERFORMANSI DAN BEBAN KERJA MENTAL SISWA PENERBANG: STUDI PADA SIMULATOR PESAWAT TERBANG	Ergonomi dan Rekayasa Kerja	2	beban kerja		0		False
359	PERANCANGAN MODEL USABILITY UNTUK SISTEM ELECTRONIC MEDICAL RECORD	Ergonomi dan Rekayasa Kerja	1	usability	Sistem Informasi dan Keputusan	1	usability	True
